模型名称：DUMP
合约名称：IF1305  
测试时间：2012-05-17 -- 2012-05-18
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	435
  指令总数：		435		  平均交易周期：1
  初始资金：		330000		  最终权益：	279316
  总收益率(盈利/初始资金)：	-15.36%	  盈利：	-50683.59
  扣除最大盈利后收益率：	-16.45%
  扣除最大亏损后收益率：	-14.80%

  可靠性(胜率)：	52.41%		  成交额：	675744000
  期望收益(平均R乘数)：	0.00R		  总手续费：	40545

  总交易次数：		435		
  盈利次数比例：	42.76%		  亏损次数比例：	47.36%
  平均利润率：		-0.04%		  平均每次盈利：	-117
  标准离差率：		-1762.9%		  标准离差：		410.92
  多头次数：		217		  空头次数：		217
  多头盈利次数：	91		  空头盈利次数：	95

  盈利次数：		186		  亏损次数：	206
  总盈利：		55380(16.78%)	  总亏损：	-65519(-19.85%)
  平均盈利率：		321(0.10%)	  平均亏损率：	-342(-0.10%)
  最大盈利额：		3600(1.18%)	  最大亏损额：	-1860(-0.62%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	6		  最大连续亏损次数：	11
  最大连续盈利：	3840(1.26%)	  最大连续亏损：	-3840(-1.21%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20120517 13:04	2589.8	空头	20120517 13:05	2588.2	1	93	480	386.8	324031.0	正常
20120517 13:05	2588.2	多头	20120517 13:06	2588.6	1	93	120	26.9	324057.9	正常
20120517 13:06	2588.6	空头	20120517 13:07	2588.4	1	93	60	-33.1	324024.8	正常
20120517 13:07	2588.4	多头	20120517 13:08	2589.2	1	93	240	146.8	324171.6	正常
20120517 13:08	2589.2	空头	20120517 13:09	2590.6	1	93	-420	-513.3	323658.3	正常
20120517 13:09	2590.6	多头	20120517 13:10	2590.4	1	93	-60	-153.3	323505.0	正常
20120517 13:10	2590.4	空头	20120517 13:11	2593.2	1	93	-840	-933.3	322571.7	正常
20120517 13:11	2593.2	多头	20120517 13:12	2592.0	1	93	-360	-453.3	322118.4	正常
20120517 13:12	2592.0	空头	20120517 13:13	2592.4	1	93	-120	-213.3	321905.1	正常
20120517 13:13	2592.4	多头	20120517 13:14	2591.0	1	93	-420	-513.3	321391.9	正常
20120517 13:14	2591.0	空头	20120517 13:15	2592.4	1	93	-420	-513.3	320878.6	正常
20120517 13:15	2592.4	多头	20120517 13:16	2591.8	1	93	-180	-273.3	320605.3	正常
20120517 13:16	2591.8	空头	20120517 13:17	2592.0	1	93	-60	-153.3	320452.0	正常
20120517 13:17	2592.0	多头	20120517 13:18	2590.4	1	93	-480	-573.3	319878.7	正常
20120517 13:18	2590.4	空头	20120517 13:19	2591.4	1	93	-300	-393.3	319485.4	正常
20120517 13:19	2591.4	多头	20120517 13:20	2592.6	1	93	360	266.7	319752.2	正常
20120517 13:20	2592.6	空头	20120517 13:21	2595.2	1	93	-780	-873.3	318878.9	正常
20120517 13:21	2595.2	多头	20120517 13:22	2594.8	1	93	-120	-213.4	318665.5	正常
20120517 13:22	2594.8	空头	20120517 13:23	2594.0	1	93	240	146.6	318812.1	正常
20120517 13:23	2594.0	多头	20120517 13:24	2597.4	1	93	1020	926.5	319738.6	正常
20120517 13:24	2597.4	空头	20120517 13:25	2597.0	1	93	120	26.5	319765.1	正常
20120517 13:25	2597.0	多头	20120517 13:26	2597.2	1	93	60	-33.5	319731.6	正常
20120517 13:26	2597.2	空头	20120517 13:27	2597.0	1	93	60	-33.5	319698.1	正常
20120517 13:27	2597.0	多头	20120517 13:28	2596.0	1	93	-300	-393.5	319304.6	正常
20120517 13:28	2596.0	空头	20120517 13:29	2594.2	1	93	540	446.6	319751.2	正常
20120517 13:29	2594.2	多头	20120517 13:30	2593.8	1	93	-120	-213.4	319537.8	正常
20120517 13:30	2593.8	空头	20120517 13:31	2594.2	1	93	-120	-213.4	319324.5	正常
20120517 13:31	2594.2	多头	20120517 13:32	2593.0	1	93	-360	-453.4	318871.1	正常
20120517 13:32	2593.0	空头	20120517 13:33	2594.2	1	93	-360	-453.4	318417.8	正常
20120517 13:33	2594.2	多头	20120517 13:34	2594.6	1	93	120	26.6	318444.4	正常
20120517 13:34	2594.6	空头	20120517 13:35	2597.0	1	93	-720	-813.4	317631.0	正常
20120517 13:35	2597.0	多头	20120517 13:36	2596.2	1	93	-240	-333.5	317297.5	正常
20120517 13:36	2596.2	空头	20120517 13:37	2595.8	1	93	120	26.5	317324.1	正常
20120517 13:37	2595.8	多头	20120517 13:38	2596.0	1	93	60	-33.5	317290.6	正常
20120517 13:38	2596.0	空头	20120517 13:39	2599.6	1	94	-1080	-1173.6	316117.1	正常
20120517 13:39	2599.6	多头	20120517 13:40	2597.4	1	94	-660	-753.6	315363.5	正常
20120517 13:40	2597.4	空头	20120517 13:41	2597.4	1	94	0	-93.5	315270.0	正常
20120517 13:41	2597.4	多头	20120517 13:42	2597.4	1	94	0	-93.5	315176.5	正常
20120517 13:42	2597.4	空头	20120517 13:43	2598.0	1	94	-180	-273.5	314902.9	正常
20120517 13:43	2598.0	多头	20120517 13:44	2600.2	1	94	660	566.4	315469.3	正常
20120517 13:44	2600.2	空头	20120517 13:45	2602.6	1	94	-720	-813.7	314655.6	正常
20120517 13:45	2602.6	多头	20120517 13:46	2605.8	1	94	960	866.2	315521.8	正常
20120517 13:46	2605.8	空头	20120517 13:47	2603.4	1	94	720	626.3	316148.1	正常
20120517 13:47	2603.4	多头	20120517 13:48	2603.6	1	94	60	-33.7	316114.4	正常
20120517 13:48	2603.6	空头	20120517 13:49	2608.4	1	94	-1440	-1533.8	314580.7	正常
20120517 13:49	2608.4	多头	20120517 13:50	2605.6	1	94	-840	-933.8	313646.8	正常
20120517 13:50	2605.6	空头	20120517 13:51	2606.4	1	94	-240	-333.8	313313.1	正常
20120517 13:51	2606.4	多头	20120517 13:52	2604.4	1	94	-600	-693.8	312619.3	正常
20120517 13:52	2604.4	空头	20120517 13:53	2605.4	1	94	-300	-393.8	312225.5	正常
20120517 13:53	2605.4	多头	20120517 13:54	2604.0	1	94	-420	-513.7	311711.8	正常
20120517 13:54	2604.0	空头	20120517 13:55	2603.6	1	94	120	26.2	311738.0	正常
20120517 13:55	2603.6	多头	20120517 13:56	2604.2	1	94	180	86.2	311824.2	正常
20120517 13:56	2604.2	空头	20120517 13:57	2603.6	1	94	180	86.2	311910.4	正常
20120517 13:57	2603.6	多头	20120517 13:58	2604.6	1	94	300	206.3	312116.7	正常
20120517 13:58	2604.6	空头	20120517 13:59	2605.2	1	94	-180	-273.7	311843.0	正常
20120517 13:59	2605.2	多头	20120517 14:00	2604.8	1	94	-120	-213.8	311629.2	正常
20120517 14:00	2604.8	空头	20120517 14:01	2604.4	1	94	120	26.3	311655.5	正常
20120517 14:01	2604.4	多头	20120517 14:02	2605.4	1	94	300	206.2	311861.7	正常
20120517 14:02	2605.4	空头	20120517 14:03	2603.4	1	94	600	506.2	312367.9	正常
20120517 14:03	2603.4	多头	20120517 14:04	2602.0	1	94	-420	-513.7	311854.3	正常
20120517 14:04	2602.0	空头	20120517 14:05	2602.2	1	94	-60	-153.7	311700.6	正常
20120517 14:05	2602.2	多头	20120517 14:06	2602.4	1	94	60	-33.7	311666.9	正常
20120517 14:06	2602.4	空头	20120517 14:07	2602.4	1	94	0	-93.7	311573.2	正常
20120517 14:07	2602.4	多头	20120517 14:08	2604.0	1	94	480	386.3	311959.5	正常
20120517 14:08	2604.0	空头	20120517 14:09	2604.0	1	94	0	-93.7	311865.8	正常
20120517 14:09	2604.0	多头	20120517 14:10	2604.8	1	94	240	146.3	312012.1	正常
20120517 14:10	2604.8	空头	20120517 14:11	2605.4	1	94	-180	-273.7	311738.3	正常
20120517 14:11	2605.4	多头	20120517 14:12	2605.2	1	94	-60	-153.8	311584.6	正常
20120517 14:12	2605.2	空头	20120517 14:13	2604.6	1	94	180	86.2	311670.7	正常
20120517 14:13	2604.6	多头	20120517 14:14	2604.4	1	94	-60	-153.8	311516.9	正常
20120517 14:14	2604.4	空头	20120517 14:15	2603.2	1	94	360	266.2	311783.2	正常
20120517 14:15	2603.2	多头	20120517 14:16	2605.4	1	94	660	566.2	312349.4	正常
20120517 14:16	2605.4	空头	20120517 14:17	2605.0	1	94	120	26.2	312375.6	正常
20120517 14:17	2605.0	多头	20120517 14:18	2606.6	1	94	480	386.2	312761.8	正常
20120517 14:18	2606.6	空头	20120517 14:19	2609.2	1	94	-780	-873.8	311888.0	正常
20120517 14:19	2609.2	多头	20120517 14:20	2608.4	1	94	-240	-333.9	311554.1	正常
20120517 14:20	2608.4	空头	20120517 14:21	2609.8	1	94	-420	-514.0	311040.1	正常
20120517 14:21	2609.8	多头	20120517 14:22	2610.2	1	94	120	26.0	311066.1	正常
20120517 14:22	2610.2	空头	20120517 14:23	2609.6	1	94	180	86.0	311152.1	正常
20120517 14:23	2609.6	多头	20120517 14:24	2611.4	1	94	540	446.0	311598.1	正常
20120517 14:24	2611.4	空头	20120517 14:25	2612.8	1	94	-420	-514.1	311084.0	正常
