模型名称：DUMP
合约名称：IF1206  
测试时间：2012-05-17 -- 2012-06-08
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		22		  测试周期数：	4540
  指令总数：		4540		  平均交易周期：1
  初始资金：		330000		  最终权益：	7380
  总收益率(盈利/初始资金)：	-97.76%	  盈利：	-322620.06
  扣除最大盈利后收益率：	-100.87%
  扣除最大亏损后收益率：	-96.73%

  可靠性(胜率)：	53.85%		  成交额：	5448997376
  期望收益(平均R乘数)：	0.00R		  总手续费：	326940

  总交易次数：		4540		
  盈利次数比例：	36.61%		  亏损次数比例：	35.57%
  平均利润率：		-0.02%		  平均每次盈利：	-71
  标准离差率：		45046.7%		  标准离差：		428.62
  多头次数：		2270		  空头次数：		2269
  多头盈利次数：	820		  空头盈利次数：	842

  盈利次数：		1662		  亏损次数：	1615
  总盈利：		580020(175.76%)	  总亏损：	-575701(-174.45%)
  平均盈利率：		1423(0.43%)	  平均亏损率：	-1415(-0.43%)
  最大盈利额：		10260(43.67%)	  最大亏损额：	-3420(-21.82%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	10		  最大连续亏损次数：	9
  最大连续盈利：	10260(43.67%)	  最大连续亏损：	-3720(-12.92%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120517 10:05	2578.0	多头	20120517 10:06	2580.0	1	93	600	507.2	330507.2	正常
20120517 10:06	2580.0	空头	20120517 10:07	2579.0	1	93	300	207.1	330714.3	正常
20120517 10:07	2579.0	多头	20120517 10:08	2579.2	1	93	60	-32.9	330681.4	正常
20120517 10:08	2579.2	空头	20120517 10:09	2578.2	1	93	300	207.2	330888.6	正常
20120517 10:09	2578.2	多头	20120517 10:10	2577.0	1	93	-360	-452.8	330435.8	正常
20120517 10:10	2577.0	空头	20120517 10:11	2577.6	1	93	-180	-272.8	330163.0	正常
20120517 10:11	2577.6	多头	20120517 10:12	2576.4	1	93	-360	-452.8	329710.1	正常
20120517 10:12	2576.4	空头	20120517 10:13	2575.6	1	93	240	147.2	329857.3	正常
20120517 10:13	2575.6	多头	20120517 10:14	2577.0	1	93	420	327.2	330184.6	正常
20120517 10:14	2577.0	空头	20120517 10:15	2578.8	1	93	-540	-632.8	329551.8	正常
20120517 10:15	2578.8	多头	20120517 10:16	2578.0	1	93	-240	-332.8	329218.9	正常
20120517 10:16	2578.0	空头	20120517 10:17	2580.0	1	93	-600	-692.8	328526.1	正常
20120517 10:17	2580.0	多头	20120517 10:18	2581.0	1	93	300	207.1	328733.2	正常
20120517 10:18	2581.0	空头	20120517 10:19	2578.6	1	93	720	627.1	329360.3	正常
20120517 10:19	2578.6	多头	20120517 10:20	2580.0	1	93	420	327.1	329687.4	正常
20120517 10:20	2580.0	空头	20120517 10:21	2580.4	1	93	-120	-212.9	329474.6	正常
20120517 10:21	2580.4	多头	20120517 10:22	2579.8	1	93	-180	-272.8	329201.7	正常
20120517 10:22	2579.8	空头	20120517 10:23	2580.6	1	93	-240	-332.9	328868.8	正常
20120517 10:23	2580.6	多头	20120517 10:24	2580.8	1	93	60	-32.9	328835.9	正常
20120517 10:24	2580.8	空头	20120517 10:25	2580.0	1	93	240	147.1	328983.0	正常
20120517 10:25	2580.0	多头	20120517 10:26	2579.6	1	93	-120	-212.8	328770.1	正常
20120517 10:26	2579.6	空头	20120517 10:27	2580.4	1	93	-240	-332.8	328437.3	正常
20120517 10:27	2580.4	多头	20120517 10:28	2581.0	1	93	180	87.1	328524.4	正常
20120517 10:28	2581.0	空头	20120517 10:29	2580.0	1	93	300	207.1	328731.5	正常
20120517 10:29	2580.0	多头	20120517 10:30	2580.6	1	93	180	87.1	328818.7	正常
20120517 10:30	2580.6	空头	20120517 10:31	2579.2	1	93	420	327.2	329145.9	正常
20120517 10:31	2579.2	多头	20120517 10:32	2579.4	1	93	60	-32.9	329113.0	正常
20120517 10:32	2579.4	空头	20120517 10:33	2578.8	1	93	180	87.1	329200.1	正常
20120517 10:33	2578.8	多头	20120517 10:34	2578.2	1	93	-180	-272.9	328927.3	正常
20120517 10:34	2578.2	空头	20120517 10:35	2579.6	1	93	-420	-512.9	328414.4	正常
20120517 10:35	2579.6	多头	20120517 10:36	2580.2	1	93	180	87.1	328501.5	正常
20120517 10:36	2580.2	空头	20120517 10:37	2580.6	1	93	-120	-212.9	328288.5	正常
20120517 10:37	2580.6	多头	20120517 10:38	2581.0	1	93	120	27.1	328315.6	正常
20120517 10:38	2581.0	空头	20120517 10:39	2580.4	1	93	180	87.1	328402.7	正常
20120517 10:39	2580.4	多头	20120517 10:40	2579.6	1	93	-240	-332.8	328069.9	正常
20120517 10:40	2579.6	空头	20120517 10:41	2580.0	1	93	-120	-212.8	327857.1	正常
20120517 10:41	2580.0	多头	20120517 10:42	2580.0	1	93	0	-92.9	327764.2	正常
20120517 10:42	2580.0	空头	20120517 10:43	2585.0	1	93	-1500	-1593.0	326171.2	正常
20120517 10:43	2585.0	多头	20120517 10:44	2583.2	1	93	-540	-633.0	325538.2	正常
20120517 10:44	2583.2	空头	20120517 10:45	2587.0	1	93	-1140	-1233.1	324305.1	正常
20120517 10:45	2587.0	多头	20120517 10:46	2588.4	1	93	420	326.8	324631.9	正常
20120517 10:46	2588.4	空头	20120517 10:47	2585.4	1	93	900	806.9	325438.8	正常
20120517 10:47	2585.4	多头	20120517 10:48	2585.2	1	93	-60	-153.1	325285.7	正常
20120517 10:48	2585.2	空头	20120517 10:49	2583.2	1	93	600	507.0	325792.7	正常
20120517 10:49	2583.2	多头	20120517 10:50	2583.6	1	93	120	27.0	325819.7	正常
20120517 10:50	2583.6	空头	20120517 10:51	2584.4	1	93	-240	-333.0	325486.8	正常
20120517 10:51	2584.4	多头	20120517 10:52	2583.8	1	93	-180	-273.0	325213.8	正常
