模型名称：DUMP
合约名称：IF1206  
测试时间：2012-06-12 -- 2012-06-13
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	243
  指令总数：		243		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147472896
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-10751.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	55.14%		  成交额：	373081120
  期望收益(平均R乘数)：	0.00R		  总手续费：	22385

  总交易次数：		243		
  盈利次数比例：	44.44%		  亏损次数比例：	44.44%
  平均利润率：		-0.00%		  平均每次盈利：	-44
  标准离差率：		-6828.9%		  标准离差：		455.29
  多头次数：		121		  空头次数：		121
  多头盈利次数：	57		  空头盈利次数：	51

  盈利次数：		108		  亏损次数：	108
  总盈利：		37200(0.00%)	  总亏损：	-38820(-0.00%)
  平均盈利率：		344(0.00%)	  平均亏损率：	-359(-0.00%)
  最大盈利额：		2160(0.00%)	  最大亏损额：	-1620(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	6		  最大连续亏损次数：	6
  最大连续盈利：	3360(0.00%)	  最大连续亏损：	-3480(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120612 15:11	2537.0	多头	20120612 15:12	2538.0	1	91	300	208.7	2147483904.0	正常
20120612 15:12	2538.0	空头	20120612 15:13	2540.0	1	91	-600	-691.4	2147483264.0	正常
20120612 15:13	2540.0	多头	20120613 09:45	2547.2	1	92	2160	2068.4	2147485440.0	正常
20120613 09:45	2547.2	空头	20120613 09:46	2546.2	1	92	300	208.3	2147485696.0	正常
20120613 09:46	2546.2	多头	20120613 09:47	2545.4	1	92	-240	-331.7	2147485440.0	正常
20120613 09:47	2545.4	空头	20120613 09:48	2545.8	1	92	-120	-211.7	2147485184.0	正常
20120613 09:48	2545.8	多头	20120613 09:49	2546.2	1	92	120	28.3	2147485184.0	正常
20120613 09:49	2546.2	空头	20120613 09:50	2546.0	1	92	60	-31.7	2147485184.0	正常
20120613 09:50	2546.0	多头	20120613 09:51	2545.0	1	92	-300	-391.6	2147484928.0	正常
20120613 09:51	2545.0	空头	20120613 09:52	2545.6	1	92	-180	-271.7	2147484672.0	正常
20120613 09:52	2545.6	多头	20120613 09:53	2545.0	1	92	-180	-271.7	2147484416.0	正常
20120613 09:53	2545.0	空头	20120613 09:54	2546.2	1	92	-360	-451.6	2147483904.0	正常
20120613 09:54	2546.2	多头	20120613 09:55	2546.0	1	92	-60	-151.6	2147483904.0	正常
20120613 09:55	2546.0	空头	20120613 09:56	2546.4	1	92	-120	-211.6	2147483648.0	正常
20120613 09:56	2546.4	多头	20120613 09:57	2548.0	1	92	480	388.3	2147484160.0	正常
20120613 09:57	2548.0	空头	20120613 09:58	2547.8	1	92	60	-31.7	2147484160.0	正常
20120613 09:58	2547.8	多头	20120613 09:59	2545.8	1	92	-600	-691.7	2147483520.0	正常
20120613 09:59	2545.8	空头	20120613 10:00	2545.4	1	92	120	28.4	2147483648.0	正常
20120613 10:00	2545.4	多头	20120613 10:01	2545.6	1	92	60	-31.6	2147483648.0	正常
20120613 10:01	2545.6	空头	20120613 10:02	2546.8	1	92	-360	-451.6	2147483264.0	正常
20120613 10:02	2546.8	多头	20120613 10:03	2545.4	1	92	-420	-511.7	2147482752.0	正常
20120613 10:03	2545.4	空头	20120613 10:04	2545.0	1	92	120	28.3	2147482880.0	正常
20120613 10:04	2545.0	多头	20120613 10:05	2543.4	1	92	-480	-571.6	2147482368.0	正常
20120613 10:05	2543.4	空头	20120613 10:06	2543.4	1	92	0	-91.6	2147482368.0	正常
20120613 10:06	2543.4	多头	20120613 10:07	2544.2	1	92	240	148.4	2147482624.0	正常
20120613 10:07	2544.2	空头	20120613 10:08	2542.6	1	92	480	388.4	2147483008.0	正常
20120613 10:08	2542.6	多头	20120613 10:09	2543.0	1	92	120	28.4	2147483136.0	正常
20120613 10:09	2543.0	空头	20120613 10:10	2543.6	1	92	-180	-271.6	2147482880.0	正常
20120613 10:10	2543.6	多头	20120613 10:11	2542.0	1	92	-480	-571.6	2147482368.0	正常
20120613 10:11	2542.0	空头	20120613 10:12	2541.4	1	92	180	88.5	2147482496.0	正常
20120613 10:12	2541.4	多头	20120613 10:13	2541.8	1	91	120	28.5	2147482624.0	正常
20120613 10:13	2541.8	空头	20120613 10:14	2540.8	1	91	300	208.5	2147482880.0	正常
20120613 10:14	2540.8	多头	20120613 10:15	2541.4	1	91	180	88.5	2147483008.0	正常
20120613 10:15	2541.4	空头	20120613 10:16	2542.0	1	92	-180	-271.5	2147482752.0	正常
20120613 10:16	2542.0	多头	20120613 10:17	2542.6	1	92	180	88.5	2147482880.0	正常
20120613 10:17	2542.6	空头	20120613 10:18	2542.6	1	92	0	-91.5	2147482880.0	正常
20120613 10:18	2542.6	多头	20120613 10:19	2542.6	1	92	0	-91.5	2147482880.0	正常
20120613 10:19	2542.6	空头	20120613 10:20	2542.4	1	92	60	-31.5	2147482880.0	正常
20120613 10:20	2542.4	多头	20120613 10:21	2543.8	1	92	420	328.5	2147483264.0	正常
20120613 10:21	2543.8	空头	20120613 10:22	2543.2	1	92	180	88.5	2147483392.0	正常
20120613 10:22	2543.2	多头	20120613 10:23	2542.0	1	92	-360	-451.5	2147483008.0	正常
20120613 10:23	2542.0	空头	20120613 10:24	2541.4	1	92	180	88.5	2147483136.0	正常
20120613 10:24	2541.4	多头	20120613 10:25	2542.0	1	92	180	88.5	2147483264.0	正常
20120613 10:25	2542.0	空头	20120613 10:26	2541.4	1	92	180	88.5	2147483392.0	正常
20120613 10:26	2541.4	多头	20120613 10:27	2541.2	1	91	-60	-151.5	2147483264.0	正常
20120613 10:27	2541.2	空头	20120613 10:28	2541.2	1	91	0	-91.5	2147483264.0	正常
20120613 10:28	2541.2	多头	20120613 10:29	2540.8	1	91	-120	-211.4	2147483136.0	正常
20120613 10:29	2540.8	空头	20120613 10:30	2538.8	1	91	600	508.6	2147483648.0	正常
20120613 10:30	2538.8	多头	20120613 10:31	2538.6	1	91	-60	-151.4	2147483520.0	正常
20120613 10:31	2538.6	空头	20120613 10:32	2538.6	1	91	0	-91.4	2147483520.0	正常
20120613 10:32	2538.6	多头	20120613 10:33	2538.0	1	91	-180	-271.4	2147483264.0	正常
20120613 10:33	2538.0	空头	20120613 10:34	2538.0	1	91	0	-91.4	2147483264.0	正常
20120613 10:34	2538.0	多头	20120613 10:35	2538.8	1	91	240	148.6	2147483520.0	正常
20120613 10:35	2538.8	空头	20120613 10:36	2539.4	1	91	-180	-271.4	2147483264.0	正常
20120613 10:36	2539.4	多头	20120613 10:37	2538.8	1	91	-180	-271.4	2147483008.0	正常
20120613 10:37	2538.8	空头	20120613 10:38	2540.4	1	91	-480	-571.4	2147482496.0	正常
20120613 10:38	2540.4	多头	20120613 10:39	2539.6	1	91	-240	-331.4	2147482240.0	正常
20120613 10:39	2539.6	空头	20120613 10:40	2539.8	1	91	-60	-151.4	2147482112.0	正常
20120613 10:40	2539.8	多头	20120613 10:41	2543.4	1	91	1080	988.5	2147483136.0	正常
20120613 10:41	2543.4	空头	20120613 10:42	2544.6	1	92	-360	-451.6	2147482752.0	正常
20120613 10:42	2544.6	多头	20120613 10:43	2543.2	1	92	-420	-511.6	2147482240.0	正常
20120613 10:43	2543.2	空头	20120613 10:44	2543.2	1	92	0	-91.6	2147482240.0	正常
20120613 10:44	2543.2	多头	20120613 10:45	2546.0	1	92	840	748.4	2147483008.0	正常
20120613 10:45	2546.0	空头	20120613 10:46	2545.8	1	92	60	-31.7	2147483008.0	正常
20120613 10:46	2545.8	多头	20120613 10:47	2546.2	1	92	120	28.3	2147483136.0	正常
20120613 10:47	2546.2	空头	20120613 10:48	2545.0	1	92	360	268.3	2147483392.0	正常
20120613 10:48	2545.0	多头	20120613 10:49	2546.4	1	92	420	328.3	2147483648.0	正常
20120613 10:49	2546.4	空头	20120613 10:50	2545.8	1	92	180	88.3	2147483904.0	正常
20120613 10:50	2545.8	多头	20120613 10:51	2544.6	1	92	-360	-451.6	2147483520.0	正常
20120613 10:51	2544.6	空头	20120613 10:52	2545.4	1	92	-240	-331.6	2147483264.0	正常
20120613 10:52	2545.4	多头	20120613 10:53	2545.4	1	92	0	-91.6	2147483264.0	正常
20120613 10:53	2545.4	空头	20120613 10:54	2548.0	1	92	-780	-871.7	2147482496.0	正常
20120613 10:54	2548.0	多头	20120613 10:55	2551.4	1	92	1020	928.2	2147483520.0	正常
20120613 10:55	2551.4	空头	20120613 10:56	2550.2	1	92	360	268.2	2147483904.0	正常
20120613 10:56	2550.2	多头	20120613 10:57	2556.8	1	92	1980	1888.1	2147485952.0	正常
20120613 10:57	2556.8	空头	20120613 10:58	2557.2	1	92	-120	-212.0	2147485696.0	正常
20120613 10:58	2557.2	多头	20120613 10:59	2556.0	1	92	-360	-452.0	2147485184.0	正常
20120613 10:59	2556.0	空头	20120613 11:00	2555.4	1	92	180	88.0	2147485440.0	正常
20120613 11:00	2555.4	多头	20120613 11:01	2555.4	1	92	0	-92.0	2147485440.0	正常
20120613 11:01	2555.4	空头	20120613 11:02	2553.4	1	92	600	508.0	2147485952.0	正常
20120613 11:02	2553.4	多头	20120613 11:03	2552.0	1	92	-420	-511.9	2147485440.0	正常
20120613 11:03	2552.0	空头	20120613 11:04	2553.0	1	92	-300	-391.9	2147485184.0	正常
20120613 11:04	2553.0	多头	20120613 11:05	2552.8	1	92	-60	-151.9	2147485184.0	正常
20120613 11:05	2552.8	空头	20120613 11:06	2554.4	1	92	-480	-571.9	2147484672.0	正常
20120613 11:06	2554.4	多头	20120613 11:07	2555.2	1	92	240	148.0	2147484928.0	正常
20120613 11:07	2555.2	空头	20120613 11:08	2555.2	1	92	0	-92.0	2147484928.0	正常
20120613 11:08	2555.2	多头	20120613 11:09	2556.4	1	92	360	268.0	2147485184.0	正常
20120613 11:09	2556.4	空头	20120613 11:10	2559.6	1	92	-960	-1052.1	2147484160.0	正常
20120613 11:10	2559.6	多头	20120613 11:11	2554.2	1	92	-1620	-1712.1	2147482496.0	正常
20120613 11:11	2554.2	空头	20120613 11:12	2554.2	1	92	0	-92.0	2147482496.0	正常
20120613 11:12	2554.2	多头	20120613 11:13	2554.4	1	92	60	-32.0	2147482496.0	正常
20120613 11:13	2554.4	空头	20120613 11:14	2553.0	1	92	420	328.0	2147482880.0	正常
20120613 11:14	2553.0	多头	20120613 11:15	2553.2	1	92	60	-31.9	2147482880.0	正常
20120613 11:15	2553.2	空头	20120613 11:16	2549.8	1	92	1020	928.1	2147483904.0	正常
20120613 11:16	2549.8	多头	20120613 11:17	2551.0	1	92	360	268.2	2147484160.0	正常
20120613 11:17	2551.0	空头	20120613 11:18	2550.0	1	92	300	208.2	2147484416.0	正常
20120613 11:18	2550.0	多头	20120613 11:19	2549.8	1	92	-60	-151.8	2147484416.0	正常
20120613 11:19	2549.8	空头	20120613 11:20	2549.4	1	92	120	28.3	2147484416.0	正常
20120613 11:20	2549.4	多头	20120613 11:21	2550.4	1	92	300	208.2	2147484672.0	正常
20120613 11:21	2550.4	空头	20120613 11:22	2551.4	1	92	-300	-391.8	2147484416.0	正常
20120613 11:22	2551.4	多头	20120613 11:23	2551.2	1	92	-60	-151.8	2147484416.0	正常
20120613 11:23	2551.2	空头	20120613 11:24	2555.2	1	92	-1200	-1291.9	2147483136.0	正常
20120613 11:24	2555.2	多头	20120613 11:25	2557.4	1	92	660	568.0	2147483648.0	正常
20120613 11:25	2557.4	空头	20120613 11:26	2562.8	1	92	-1620	-1712.2	2147481984.0	正常
20120613 11:26	2562.8	多头	20120613 11:27	2564.8	1	92	600	507.7	2147482496.0	正常
20120613 11:27	2564.8	空头	20120613 11:28	2565.8	1	92	-300	-392.4	2147482112.0	正常
20120613 11:28	2565.8	多头	20120613 11:29	2567.8	1	92	600	507.6	2147482624.0	正常
20120613 11:29	2567.8	空头	20120613 13:00	2567.8	1	92	0	-92.4	2147482624.0	正常
20120613 13:00	2567.8	多头	20120613 13:01	2568.4	1	92	180	87.5	2147482752.0	正常
20120613 13:01	2568.4	空头	20120613 13:02	2566.0	1	92	720	627.6	2147483392.0	正常
20120613 13:02	2566.0	多头	20120613 13:03	2566.8	1	92	240	147.6	2147483648.0	正常
20120613 13:03	2566.8	空头	20120613 13:04	2566.0	1	92	240	147.6	2147483904.0	正常
20120613 13:04	2566.0	多头	20120613 13:05	2566.4	1	92	120	27.6	2147483904.0	正常
20120613 13:05	2566.4	空头	20120613 13:06	2568.6	1	92	-660	-752.5	2147483136.0	正常
20120613 13:06	2568.6	多头	20120613 13:07	2567.0	1	92	-480	-572.5	2147482624.0	正常
20120613 13:07	2567.0	空头	20120613 13:08	2567.8	1	92	-240	-332.4	2147482368.0	正常
20120613 13:08	2567.8	多头	20120613 13:09	2568.2	1	92	120	27.5	2147482496.0	正常
20120613 13:09	2568.2	空头	20120613 13:10	2570.6	1	92	-720	-812.5	2147481728.0	正常
20120613 13:10	2570.6	多头	20120613 13:11	2571.2	1	93	180	87.4	2147481856.0	正常
20120613 13:11	2571.2	空头	20120613 13:12	2573.4	1	93	-660	-752.6	2147481088.0	正常
20120613 13:12	2573.4	多头	20120613 13:13	2568.2	1	93	-1560	-1652.5	2147479424.0	正常
20120613 13:13	2568.2	空头	20120613 13:14	2568.6	1	92	-120	-212.5	2147479296.0	正常
20120613 13:14	2568.6	多头	20120613 13:15	2567.0	1	92	-480	-572.5	2147478784.0	正常
20120613 13:15	2567.0	空头	20120613 13:16	2569.0	1	92	-600	-692.4	2147478144.0	正常
20120613 13:16	2569.0	多头	20120613 13:17	2568.8	1	92	-60	-152.5	2147478016.0	正常
20120613 13:17	2568.8	空头	20120613 13:18	2568.8	1	92	0	-92.5	2147478016.0	正常
20120613 13:18	2568.8	多头	20120613 13:19	2568.0	1	92	-240	-332.5	2147477760.0	正常
20120613 13:19	2568.0	空头	20120613 13:20	2566.4	1	92	480	387.6	2147478144.0	正常
20120613 13:20	2566.4	多头	20120613 13:21	2566.8	1	92	120	27.6	2147478272.0	正常
20120613 13:21	2566.8	空头	20120613 13:22	2567.8	1	92	-300	-392.4	2147477888.0	正常
20120613 13:22	2567.8	多头	20120613 13:23	2568.8	1	92	300	207.5	2147478144.0	正常
20120613 13:23	2568.8	空头	20120613 13:24	2568.2	1	92	180	87.6	2147478272.0	正常
20120613 13:24	2568.2	多头	20120613 13:25	2569.0	1	92	240	147.5	2147478528.0	正常
20120613 13:25	2569.0	空头	20120613 13:26	2569.4	1	92	-120	-212.5	2147478400.0	正常
20120613 13:26	2569.4	多头	20120613 13:27	2569.2	1	92	-60	-152.5	2147478272.0	正常
20120613 13:27	2569.2	空头	20120613 13:28	2568.2	1	92	300	207.5	2147478528.0	正常
20120613 13:28	2568.2	多头	20120613 13:29	2567.0	1	92	-360	-452.4	2147478144.0	正常
20120613 13:29	2567.0	空头	20120613 13:30	2567.4	1	92	-120	-212.4	2147478016.0	正常
20120613 13:30	2567.4	多头	20120613 13:31	2569.0	1	92	480	387.6	2147478400.0	正常
20120613 13:31	2569.0	空头	20120613 13:32	2572.6	1	93	-1080	-1172.6	2147477248.0	正常
20120613 13:32	2572.6	多头	20120613 13:33	2571.6	1	93	-300	-392.6	2147476864.0	正常
20120613 13:33	2571.6	空头	20120613 13:34	2573.2	1	93	-480	-572.6	2147476352.0	正常
20120613 13:34	2573.2	多头	20120613 13:35	2573.2	1	93	0	-92.6	2147476352.0	正常
20120613 13:35	2573.2	空头	20120613 13:36	2569.0	1	93	1260	1167.4	2147477504.0	正常
20120613 13:36	2569.0	多头	20120613 13:37	2568.8	1	92	-60	-152.5	2147477376.0	正常
20120613 13:37	2568.8	空头	20120613 13:38	2569.0	1	92	-60	-152.5	2147477248.0	正常
20120613 13:38	2569.0	多头	20120613 13:39	2568.8	1	92	-60	-152.5	2147477120.0	正常
20120613 13:39	2568.8	空头	20120613 13:40	2570.4	1	93	-480	-572.5	2147476608.0	正常
20120613 13:40	2570.4	多头	20120613 13:41	2569.0	1	93	-420	-512.5	2147476096.0	正常
20120613 13:41	2569.0	空头	20120613 13:42	2568.4	1	92	180	87.6	2147476224.0	正常
20120613 13:42	2568.4	多头	20120613 13:43	2568.8	1	92	120	27.6	2147476352.0	正常
20120613 13:43	2568.8	空头	20120613 13:44	2569.6	1	92	-240	-332.5	2147476096.0	正常
20120613 13:44	2569.6	多头	20120613 13:45	2570.0	1	93	120	27.5	2147476224.0	正常
20120613 13:45	2570.0	空头	20120613 13:46	2569.0	1	93	300	207.5	2147476480.0	正常
20120613 13:46	2569.0	多头	20120613 13:47	2570.4	1	93	420	327.5	2147476864.0	正常
20120613 13:47	2570.4	空头	20120613 13:48	2570.8	1	93	-120	-212.6	2147476736.0	正常
20120613 13:48	2570.8	多头	20120613 13:49	2572.2	1	93	420	327.4	2147477120.0	正常
20120613 13:49	2572.2	空头	20120613 13:50	2571.6	1	93	180	87.4	2147477248.0	正常
20120613 13:50	2571.6	多头	20120613 13:51	2569.0	1	93	-780	-872.6	2147476480.0	正常
20120613 13:51	2569.0	空头	20120613 13:52	2568.8	1	92	60	-32.5	2147476480.0	正常
20120613 13:52	2568.8	多头	20120613 13:53	2567.0	1	92	-540	-632.5	2147475840.0	正常
20120613 13:53	2567.0	空头	20120613 13:54	2567.0	1	92	0	-92.4	2147475840.0	正常
20120613 13:54	2567.0	多头	20120613 13:55	2567.6	1	92	180	87.6	2147475968.0	正常
20120613 13:55	2567.6	空头	20120613 13:56	2567.0	1	92	180	87.6	2147476096.0	正常
20120613 13:56	2567.0	多头	20120613 13:57	2565.6	1	92	-420	-512.4	2147475584.0	正常
20120613 13:57	2565.6	空头	20120613 13:58	2566.4	1	92	-240	-332.3	2147475328.0	正常
20120613 13:58	2566.4	多头	20120613 13:59	2565.0	1	92	-420	-512.3	2147474816.0	正常
20120613 13:59	2565.0	空头	20120613 14:00	2566.8	1	92	-540	-632.4	2147474176.0	正常
20120613 14:00	2566.8	多头	20120613 14:01	2566.8	1	92	0	-92.4	2147474176.0	正常
20120613 14:01	2566.8	空头	20120613 14:02	2566.0	1	92	240	147.6	2147474432.0	正常
20120613 14:02	2566.0	多头	20120613 14:03	2566.8	1	92	240	147.6	2147474688.0	正常
20120613 14:03	2566.8	空头	20120613 14:04	2566.8	1	92	0	-92.4	2147474688.0	正常
20120613 14:04	2566.8	多头	20120613 14:05	2567.6	1	92	240	147.6	2147474944.0	正常
20120613 14:05	2567.6	空头	20120613 14:06	2566.8	1	92	240	147.6	2147475200.0	正常
20120613 14:06	2566.8	多头	20120613 14:07	2566.4	1	92	-120	-212.4	2147475072.0	正常
20120613 14:07	2566.4	空头	20120613 14:08	2564.4	1	92	600	507.6	2147475584.0	正常
20120613 14:08	2564.4	多头	20120613 14:09	2564.6	1	92	60	-32.3	2147475584.0	正常
20120613 14:09	2564.6	空头	20120613 14:10	2564.4	1	92	60	-32.3	2147475584.0	正常
20120613 14:10	2564.4	多头	20120613 14:11	2563.2	1	92	-360	-452.3	2147475200.0	正常
20120613 14:11	2563.2	空头	20120613 14:12	2562.8	1	92	120	27.7	2147475328.0	正常
20120613 14:12	2562.8	多头	20120613 14:13	2563.8	1	92	300	207.7	2147475584.0	正常
20120613 14:13	2563.8	空头	20120613 14:14	2563.6	1	92	60	-32.3	2147475584.0	正常
20120613 14:14	2563.6	多头	20120613 14:15	2566.2	1	92	780	687.6	2147476352.0	正常
20120613 14:15	2566.2	空头	20120613 14:16	2566.4	1	92	-60	-152.4	2147476224.0	正常
20120613 14:16	2566.4	多头	20120613 14:17	2565.8	1	92	-180	-272.3	2147475968.0	正常
20120613 14:17	2565.8	空头	20120613 14:18	2565.2	1	92	180	87.7	2147476096.0	正常
20120613 14:18	2565.2	多头	20120613 14:19	2564.8	1	92	-120	-212.3	2147475968.0	正常
20120613 14:19	2564.8	空头	20120613 14:20	2564.0	1	92	240	147.7	2147476224.0	正常
20120613 14:20	2564.0	多头	20120613 14:21	2564.4	1	92	120	27.7	2147476352.0	正常
20120613 14:21	2564.4	空头	20120613 14:22	2562.6	1	92	540	447.7	2147476864.0	正常
20120613 14:22	2562.6	多头	20120613 14:23	2563.2	1	92	180	87.7	2147476992.0	正常
20120613 14:23	2563.2	空头	20120613 14:24	2564.0	1	92	-240	-332.3	2147476736.0	正常
20120613 14:24	2564.0	多头	20120613 14:25	2563.2	1	92	-240	-332.3	2147476480.0	正常
20120613 14:25	2563.2	空头	20120613 14:26	2565.8	1	92	-780	-872.4	2147475712.0	正常
20120613 14:26	2565.8	多头	20120613 14:27	2564.4	1	92	-420	-512.4	2147475200.0	正常
20120613 14:27	2564.4	空头	20120613 14:28	2564.8	1	92	-120	-212.4	2147475072.0	正常
20120613 14:28	2564.8	多头	20120613 14:29	2569.0	1	92	1260	1167.6	2147476224.0	正常
20120613 14:29	2569.0	空头	20120613 14:30	2570.8	1	93	-540	-632.5	2147475584.0	正常
20120613 14:30	2570.8	多头	20120613 14:31	2569.2	1	93	-480	-572.5	2147475072.0	正常
20120613 14:31	2569.2	空头	20120613 14:32	2567.4	1	92	540	447.6	2147475584.0	正常
20120613 14:32	2567.4	多头	20120613 14:33	2569.2	1	92	540	447.6	2147476096.0	正常
20120613 14:33	2569.2	空头	20120613 14:34	2568.0	1	92	360	267.5	2147476352.0	正常
20120613 14:34	2568.0	多头	20120613 14:35	2569.0	1	92	300	207.5	2147476608.0	正常
20120613 14:35	2569.0	空头	20120613 14:36	2571.8	1	93	-840	-932.5	2147475712.0	正常
20120613 14:36	2571.8	多头	20120613 14:37	2572.6	1	93	240	147.4	2147475968.0	正常
